{teacherID: 1; teacherName: Lucy James; course: Algebra, Trigonometry; availableCourse: 4}
{teacherID: 2; teacherName: John Davidson; course: Linear Algebra; availableCourse: 5}
{teacherID: 3; teacherName: Emily Harikrishnan; course: Mathematical Logic, Number Theory; availableCourse: 3}
{teacherID: 4; teacherName: David Liu; course: Trigonometry, Mathematical Logic, Number Theory, Algebra; availableCourse: 7}
{teacherID: 5; teacherName: Sarah McDonald; course: Statistics, Algebra, Calculus; availableCourse: 6}
{teacherID: 6; teacherName: Michael Kentucky; course: Number Theory, Calculus; availableCourse: 4}
{teacherID: 7; teacherName: Emma Burger; course: Algebra, Geometry; availableCourse: 5}
{teacherID: 8; teacherName: James Jolly; course: Number Theory, Algebra; availableCourse: 3}
{teacherID: 9; teacherName: Olivia Hut; course: Number Theory, Mathematical Logic, Algebra, Geometry; availableCourse: 6}
{teacherID: 10; teacherName: Ethan Meal; course: Calculus, Algebra; availableCourse: 4}
{teacherID: 11; teacherName: Sophia Ricardo; course: Calculus, Number Theory, Discrete Mathematics; availableCourse: 5}
{teacherID: 12; teacherName: Benjamin Hamilton; course: Algebra, Number Theory, Discrete Mathematics, Mathematical Logic; availableCourse: 6}
{teacherID: 13; teacherName: Olivia Rosberg; course: Discrete Mathematics, Trigonometry; availableCourse: 3}
{teacherID: 14; teacherName: William Perez; course: Geometry, Number Theory, Discrete Mathematics; availableCourse: 7}
{teacherID: 15; teacherName: Emma Russel; course: Trigonometry, Linear Algebra; availableCourse: 4}
{teacherID: 16; teacherName: Alexander Leclerc; course: Calculus, Trigonometry, Algebra; availableCourse: 5}
{teacherID: 17; teacherName: Mia Sainz; course: Differential Equations, Number Theory, Discrete Mathematics; availableCourse: 4}
{teacherID: 18; teacherName: James Verstappen; course: Number Theory, Algebra, Discrete Mathematics; availableCourse: 6}
{teacherID: 19; teacherName: Charlotte Norris; course: Discrete Mathematics; availableCourse: 3}
{teacherID: 20; teacherName: Noah Piastri; course: Algebra, Geometry, Trigonometry; availableCourse: 4}
{teacherID: 21; teacherName: Grace Stroll; course: Algebra, Trigonometry, Calculus; availableCourse: 6}
{teacherID: 22; teacherName: Lucas Alonso; course: Calculus, Algebra, Geometry; availableCourse: 5}
{teacherID: 23; teacherName: Lily Ocon; course: Calculus, Geometry, Algebra; availableCourse: 4}
{teacherID: 24; teacherName: Ethan Gasly; course: Calculus, Algebra, Geometry; availableCourse: 7}
{teacherID: 25; teacherName: Mia Bottas; course: Trigonometry, Algebra, Geometry; availableCourse: 4}
{teacherID: 26; teacherName: Jack Sargent; course: Trigonometry, Algebra, Calculus, Mathematical Logic; availableCourse: 6}
{teacherID: 27; teacherName: Ava Albon; course: Calculus, Number Theory, Discrete Mathematics; availableCourse: 5}
{teacherID: 28; teacherName: Oliver Magnussen; course: Algebra, Geometry; availableCourse: 3}
{teacherID: 29; teacherName: Emily Hulkenberg; course: Trigonometry, Algebra, Calculus, Geometry; availableCourse: 4}
{teacherID: 30; teacherName: Benjamin Tsunoda; course: Calculus, Trigonometry, Algebra, Geometry; availableCourse: 5}
{teacherID: 31; teacherName: Benjamin Drogba; course: Calculus, Algebra, Discrete Mathematics; availableCourse: 5}
{teacherID: 32; teacherName: Olivia Gallas; course: Calculus, Trigonometry; availableCourse: 4}
{teacherID: 33; teacherName: Mia Akinfenwa; course: Algebra, Discrete Mathematics, Trigonometry, Mathematical Logic; availableCourse: 6}
{teacherID: 34; teacherName: James Cole; course: Algebra, Discrete Mathematics; availableCourse: 4}
{teacherID: 35; teacherName: Charlotte Nani; course: Calculus, Number Theory, Trigonometry; availableCourse: 5}
{teacherID: 36; teacherName: Noah Evra; course: Number Theory, Mathematical Logic, Algebra; availableCourse: 6}
{teacherID: 37; teacherName: Sophia Saluki; course: Algebra, Geometry, Discrete Mathematics; availableCourse: 4}
{teacherID: 38; teacherName: Benjamin Labrador; course: Trigonometry, Algebra, Discrete Mathematics, Mathematical Logic; availableCourse: 6}
{teacherID: 39; teacherName: Mia Dane; course: Calculus, Algebra, Trigonometry; availableCourse: 5}
{teacherID: 40; teacherName: James Rottweiler; course: Algebra, Trigonometry, Calculus; availableCourse: 4}
{teacherID: 41; teacherName: Olivia Chihuahua; course: Calculus, Algebra, Trigonometry; availableCourse: 6}
{teacherID: 42; teacherName: Liam Terrier; course: Trigonometry, Algebra, Calculus; availableCourse: 5}
{teacherID: 43; teacherName: Ava Russel; course: Algebra, Geometry; availableCourse: 4}
{teacherID: 44; teacherName: Ethan Dachshund; course: Number Theory, Discrete Mathematics, Mathematical Logic, Algebra; availableCourse: 7}
{teacherID: 45; teacherName: Emma Golden; course: Algebra, Discrete Mathematics; availableCourse: 5}
{teacherID: 46; teacherName: Noah Doodle; course: Algebra, Geometry; availableCourse: 4}
{teacherID: 47; teacherName: Sophia Poodle; course: Calculus; availableCourse: 3}
{teacherID: 48; teacherName: Benjamin Pomeranian; course: Mathematical Logic, Algebra, Discrete Mathematics, Number Theory; availableCourse: 6}
{teacherID: 49; teacherName: Mia Husky; course: Calculus, Discrete Mathematics, Algebra, Number Theory; availableCourse: 4}
{teacherID: 50; teacherName: James Malamute; course: Algebra, Geometry, Trigonometry; availableCourse: 5}
